nmrFileName,peakid,researcher,username,instrument,organization,date
wyattam-20120711_P4b_1102_2D,,Morgan W,wyattam,NMR,Magarvey Lab,Sat Jul 14 00:00:00 EDT 2012
wyattam-20120911_P4b_05-Ga,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Sep 11 00:00:00 EDT 2012
wyattam-20120921_Delftibactin1032,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Sep 21 00:00:00 EDT 2012
wyattam-20120921_Delftibactin1061,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Sep 21 00:00:00 EDT 2012
wyattam-20120921_Delftibactin975,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Sep 21 00:00:00 EDT 2012
wyattam-20120921_React1049,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Sep 21 00:00:00 EDT 2012
wyattam-20120921_React988,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Sep 21 00:00:00 EDT 2012
wyattam-20120925_Coli_1,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Sep 25 00:00:00 EDT 2012
wyattam-20120925_Coli_2_Long,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Sep 25 00:00:00 EDT 2012
wyattam-20120925_P4b-05-Ga,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Sep 25 00:00:00 EDT 2012
wyattam-20120926_P4b05_Ga_2D,,Morgan W,wyattam,NMR,Magarvey Lab,Thu Oct 04 00:00:00 EDT 2012
wyattam-20120926_P4b_05-Ga,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Sep 26 00:00:00 EDT 2012
wyattam-20121004_P4b_HMBC,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Oct 05 00:00:00 EDT 2012
wyattam-20130116_coli607,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Jan 16 00:00:00 EST 2013
wyattam-20130129_Coli607_Proton,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Jan 29 00:00:00 EST 2013
wyattam-20130206-Coli_607_Proton,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Feb 06 00:00:00 EST 2013
wyattam-20130213_607_Proton,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Feb 13 00:00:00 EST 2013
wyattam-20130312_Coli-607_pure,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Mar 12 00:00:00 EDT 2013
wyattam-20131022_Ea_625,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Oct 22 00:00:00 EDT 2013
wyattam-20131125_Ea6-4_671,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Nov 25 00:00:00 EST 2013
wyattam-20131125_Ea64_671_Proton,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Nov 25 00:00:00 EST 2013
wyattam-22082011_Delftibactin,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Aug 23 00:00:00 EDT 2011
wyattam-23022011_Ea450,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Feb 23 00:00:00 EST 2011
wyattam-5-3-3-5-1,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Jan 12 00:00:00 EST 2011
wyattam-5-3-3-5-2,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Jan 12 00:00:00 EST 2011
wyattam-6-1-1,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Nov 24 00:00:00 EST 2010
wyattam-8-3-1,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Nov 24 00:00:00 EST 2010
wyattam-8-3-2,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Nov 24 00:00:00 EST 2010
wyattam-8-3-3-5-1,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Jan 19 00:00:00 EST 2011
wyattam-8-3-3-5-2,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Jan 19 00:00:00 EST 2011
wyattam-8-3-3-7 proton,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Dec 10 00:00:00 EST 2010
wyattam-8-3-4-3-2,,Morgan W,wyattam,NMR,Magarvey Lab,Thu Jan 27 00:00:00 EST 2011
wyattam-8-3-5-1 proton,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Dec 10 00:00:00 EST 2010
wyattam-8-3-5-2 Proton,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Dec 10 00:00:00 EST 2010
wyattam-8-3-5-2-1,,Morgan W,wyattam,NMR,Magarvey Lab,Thu Jan 13 00:00:00 EST 2011
wyattam-83351 COSY,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Jan 21 00:00:00 EST 2011
wyattam-83352-COSY,,Morgan W,wyattam,NMR,Magarvey Lab,Thu Jan 20 00:00:00 EST 2011
wyattam-83432,,Morgan W,wyattam,NMR,Magarvey Lab,Thu Jan 27 00:00:00 EST 2011
wyattam-Ashrafamide,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Dec 14 00:00:00 EST 2010
wyattam-Aug22,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Aug 22 00:00:00 EDT 2011
wyattam-Aug22_test,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Aug 22 00:00:00 EDT 2011
wyattam-Delftibactin,,Morgan W,wyattam,NMR,Magarvey Lab,Thu Jul 28 00:00:00 EDT 2011
wyattam-Delftibactin_Aug152011,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Aug 17 00:00:00 EDT 2011
wyattam-F6-4,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Nov 23 00:00:00 EST 2010
wyattam-test_Aug22,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Aug 22 00:00:00 EDT 2011
wyattam_Feb08b2010,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Feb 22 00:00:00 EST 2010
wyattam_Feb172010,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Feb 22 00:00:00 EST 2010
wyattam_Feb5_2010,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Feb 22 00:00:00 EST 2010
wyattam_P4B_667,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Jul 27 00:00:00 EDT 2011
wyattam_testFeb052010,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Feb 22 00:00:00 EST 2010
wyattam_testFeb092010,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Feb 22 00:00:00 EST 2010
wyattam_testFeb092010b,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Feb 22 00:00:00 EST 2010
wyattam_testFeb22b,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Feb 22 00:00:00 EST 2010
wyattam_testFeb5_2010,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Feb 22 00:00:00 EST 2010
wyattam_testFeb82010,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Feb 22 00:00:00 EST 2010
