nmrFileName,peakid,researcher,username,instrument,organization,date
Telo_2_1_1256_Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Aug 21 00:00:00 EDT 2015
Telo_2_1_1256_TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Aug 26 00:00:00 EDT 2015
Telo_3_2_1258_COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Aug 19 00:00:00 EDT 2015
Telo_3_2_1258_HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Aug 24 00:00:00 EDT 2015
Telo_3_2_1258_Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Aug 17 00:00:00 EDT 2015
Telo_3_2_1258_TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Aug 19 00:00:00 EDT 2015
Telo_3_3_1226_COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Aug 17 00:00:00 EDT 2015
Telo_3_3_1226_HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Aug 23 00:00:00 EDT 2015
Telo_3_3_1226_Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Aug 17 00:00:00 EDT 2015
Telo_3_3_1226_TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Aug 18 00:00:00 EDT 2015
Telo_3_4_1242_COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Aug 18 00:00:00 EDT 2015
Telo_3_4_1242_HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Aug 23 00:00:00 EDT 2015
Telo_3_4_1242_Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Aug 17 00:00:00 EDT 2015
Telo_3_4_1242_TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Aug 18 00:00:00 EDT 2015
Telo_4_13_1226_COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Aug 16 00:00:00 EDT 2015
Telo_4_13_1226_HMBC,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Aug 20 00:00:00 EDT 2015
Telo_4_13_1226_HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Aug 20 00:00:00 EDT 2015
Telo_4_13_1226_Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Aug 16 00:00:00 EDT 2015
Telo_4_13_1226_TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Aug 16 00:00:00 EDT 2015
Telo_4_8_1224_COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Aug 17 00:00:00 EDT 2015
Telo_4_8_1224_HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Aug 22 00:00:00 EDT 2015
Telo_4_8_1224_Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Aug 16 00:00:00 EDT 2015
Telo_4_8_1224_TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Aug 17 00:00:00 EDT 2015
TelomycinCOSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Sep 08 00:00:00 EDT 2014
TelomycinDEPT,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Sep 10 00:00:00 EDT 2014
TelomycinHMBC,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Sep 09 00:00:00 EDT 2014
TelomycinHSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Sep 09 00:00:00 EDT 2014
TelomycinHSQC-TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Sep 10 00:00:00 EDT 2014
TelomycinProton,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Sep 08 00:00:00 EDT 2014
TelomycinROESY,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Sep 11 00:00:00 EDT 2014
TelomycinShortCOSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Sep 10 00:00:00 EDT 2014
Thana1COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun May 18 00:00:00 EDT 2014
Thana1DEPT,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun May 18 00:00:00 EDT 2014
Thana1HMBC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun May 18 00:00:00 EDT 2014
Thana1HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun May 18 00:00:00 EDT 2014
Thana1Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat May 17 00:00:00 EDT 2014
Thana2COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue May 20 00:00:00 EDT 2014
Thana2DEPT,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat May 24 00:00:00 EDT 2014
Thana2HMBC,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed May 21 00:00:00 EDT 2014
Thana2HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat May 24 00:00:00 EDT 2014
Thana2Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon May 19 00:00:00 EDT 2014
Thana2ProtonCheck,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri May 23 00:00:00 EDT 2014
ThanaCOSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Jul 14 00:00:00 EDT 2014
ThanaDClcosy,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Jul 17 00:00:00 EDT 2014
ThanaDClcosymfph,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Jul 18 00:00:00 EDT 2014
ThanaDClcosymfphREDO,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Jul 24 00:00:00 EDT 2014
ThanaDClcosyqf,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Jul 18 00:00:00 EDT 2014
ThanaDCldept,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Jul 20 00:00:00 EDT 2014
ThanaDCldeptREDO,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Jul 25 00:00:00 EDT 2014
ThanaDClhmbc,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Jul 17 00:00:00 EDT 2014
ThanaDClhmbcBS,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Jul 28 00:00:00 EDT 2014
ThanaDClhmbcct,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Jul 20 00:00:00 EDT 2014
ThanaDClhsqc,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Jul 19 00:00:00 EDT 2014
ThanaDClhsqcRedo,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Jul 23 00:00:00 EDT 2014
ThanaDClproton,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Jul 16 00:00:00 EDT 2014
ThanaDEPT,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Jul 15 00:00:00 EDT 2014
